school,gender,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Salc,subject,G3_d
GP,F,18,R,GT3,T,5th to 9th grade,primary education (4th grade),other,other,reputation,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,High,Medium,Very High,Very Low,Low,Medium,0,6,0,0,Very Low,math,F
GP,F,19,U,GT3,T,secondary education,secondary education,other,services,home,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,High,Medium,Very High,Medium,Medium,Very High,15,9,9,9,Medium,math,F
GP,F,18,U,GT3,T,5th to 9th grade,secondary education,other,services,reputation,father,1,4,0,no,yes,yes,yes,yes,yes,yes,yes,High,Very High,Very High,Very Low,Medium,Low,4,15,14,14,Low,math,B
GP,F,18,U,LE3,T,primary education (4th grade),primary education (4th grade),other,other,home,mother,2,2,0,no,yes,yes,no,no,yes,no,no,High,High,Medium,Very Low,Very Low,Medium,2,11,11,11,Extremely Low,math,D
GP,M,17,R,GT3,T,primary education (4th grade),5th to 9th grade,at_home,at_home,home,mother,1,2,0,no,yes,yes,yes,no,yes,no,yes,Medium,Very High,Low,Low,Low,Very Low,2,15,14,14,Low,math,B
GP,F,17,U,GT3,T,5th to 9th grade,higher education,at_home,health,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,High,Medium,Medium,Very Low,Very Low,Very Low,2,10,10,10,Extremely Low,math,D
GP,F,17,U,LE3,T,5th to 9th grade,5th to 9th grade,services,other,course,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,High,High,High,Low,Medium,Very High,6,12,12,12,Medium Low,math,C
GP,F,18,R,GT3,A,secondary education,5th to 9th grade,other,services,home,mother,2,2,0,no,no,no,no,no,no,yes,yes,High,Very Low,Very Low,Very Low,Very Low,Very High,75,10,9,9,Extremely Low,math,F
GP,M,18,U,GT3,T,higher education,higher education,teacher,services,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,Medium,Low,High,Very Low,High,Medium,22,9,9,9,Medium Low,math,F
GP,F,18,U,GT3,T,higher education,higher education,health,health,reputation,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,Low,High,High,Very Low,Very Low,High,15,9,8,8,Extremely Low,math,F
GP,M,18,U,LE3,T,higher education,secondary education,teacher,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,High,Low,Medium,Very Low,Low,Very Low,8,10,11,10,Very Low,math,D
GP,M,17,U,LE3,A,higher education,primary education (4th grade),services,other,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,yes,High,Very High,High,Low,High,Very High,30,8,8,8,Medium,math,F
GP,M,17,U,LE3,A,secondary education,5th to 9th grade,teacher,services,home,mother,1,1,1,no,no,no,no,yes,yes,yes,no,High,High,High,Medium,High,Medium,19,11,9,10,Medium High,math,D
GP,F,18,R,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,reputation,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,Very High,Low,Low,Very Low,Very Low,Medium,1,12,12,12,Extremely Low,math,C
GP,F,18,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,Very High,High,High,Very Low,Very Low,High,4,8,9,10,Extremely Low,math,D
GP,F,17,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,Very High,High,Very High,Very Low,Low,Very High,4,10,9,11,Very Low,math,D
GP,M,17,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,reputation,father,1,2,0,no,no,yes,no,no,yes,yes,no,High,Medium,Medium,Very Low,Low,High,2,12,10,11,Very Low,math,D
GP,F,18,U,GT3,T,5th to 9th grade,5th to 9th grade,at_home,at_home,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Low,Low,5,18,18,19,Very Low,math,A
GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),services,teacher,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Very Low,Medium,6,13,12,12,Extremely Low,math,C
GP,M,18,U,GT3,T,5th to 9th grade,primary education (4th grade),services,services,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,High,Low,High,Very Low,Medium,Low,6,15,14,14,Low,math,B
GP,M,18,U,LE3,A,higher education,higher education,teacher,teacher,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,High,Medium,Very Low,Very Low,Low,9,15,13,15,Extremely Low,math,B
GP,M,18,U,GT3,T,higher education,5th to 9th grade,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,High,Medium,Low,Very Low,High,Very High,11,12,11,11,Medium Low,math,D
GP,F,17,U,GT3,T,higher education,secondary education,health,services,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,High,Low,Low,Very Low,Low,Medium,0,15,15,15,Very Low,math,B
GP,F,18,U,LE3,T,5th to 9th grade,primary education (4th grade),services,at_home,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,Very High,High,Medium,Very Low,Very Low,Very High,12,12,12,13,Extremely Low,math,C
GP,F,17,R,LE3,T,secondary education,primary education (4th grade),services,other,reputation,mother,2,4,0,no,yes,yes,no,yes,yes,no,no,Medium,Very Low,Low,Very Low,Very Low,Medium,6,18,18,18,Extremely Low,math,A
GP,M,18,R,LE3,T,secondary education,5th to 9th grade,services,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,Very High,High,Low,Very Low,Very Low,High,8,14,13,14,Extremely Low,math,B
GP,M,17,U,GT3,T,secondary education,secondary education,health,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,High,High,Medium,Very Low,Medium,Very High,4,14,12,11,Low,math,D
GP,F,19,U,GT3,T,higher education,higher education,health,other,reputation,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,Low,Medium,High,Low,Medium,Low,0,10,9,0,Medium Low,math,F
GP,F,18,U,LE3,T,higher education,secondary education,other,other,home,other,2,2,0,no,yes,yes,no,yes,yes,yes,yes,High,High,Very High,Very Low,Low,Low,10,10,8,8,Very Low,math,F
GP,F,18,U,GT3,T,higher education,secondary education,other,other,reputation,father,1,4,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Very Low,Medium,0,14,13,14,Extremely Low,math,B
GP,M,18,U,LE3,T,higher education,higher education,teacher,teacher,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,Very Low,High,Low,Low,Low,Very Low,5,16,15,16,Low,math,A
GP,F,18,U,LE3,A,higher education,higher education,health,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,High,Low,High,Very Low,Very Low,High,14,12,10,11,Extremely Low,math,D
GP,M,17,U,LE3,T,higher education,higher education,other,teacher,home,father,2,1,0,no,no,yes,no,yes,yes,yes,no,High,Very Low,Very Low,Low,Low,Very High,0,11,11,10,Low,math,D
GP,F,17,U,GT3,T,higher education,5th to 9th grade,other,other,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Very Low,Medium,0,15,12,14,Extremely Low,math,B
GP,F,17,U,GT3,T,secondary education,5th to 9th grade,health,health,reputation,father,1,4,0,no,yes,yes,yes,no,yes,yes,no,Very High,Low,Low,Very Low,Low,Very High,0,17,17,18,Very Low,math,A
GP,M,19,U,GT3,T,secondary education,secondary education,other,other,home,other,1,2,1,no,yes,no,yes,yes,yes,yes,yes,High,High,High,Very Low,Very Low,Medium,20,15,14,13,Extremely Low,math,C
GP,F,18,U,GT3,T,5th to 9th grade,higher education,services,at_home,reputation,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,High,High,Medium,Very Low,Very Low,Medium,8,14,12,12,Extremely Low,math,C
GP,M,20,U,GT3,A,secondary education,5th to 9th grade,services,other,course,other,1,1,0,no,no,no,yes,yes,yes,no,no,Very High,Very High,Medium,Very Low,Very Low,Very High,0,17,18,18,Extremely Low,math,A
GP,M,19,U,GT3,T,higher education,higher education,teacher,services,reputation,other,2,1,1,no,yes,yes,no,yes,yes,yes,yes,High,Medium,High,Very Low,Very Low,High,38,8,9,8,Extremely Low,math,F
GP,M,19,R,GT3,T,secondary education,secondary education,other,services,reputation,father,1,2,1,no,no,no,yes,yes,yes,no,yes,High,Very High,Medium,Very Low,Low,Very High,0,15,12,12,Very Low,math,C
GP,F,19,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,reputation,other,1,2,1,yes,yes,no,yes,no,yes,yes,no,High,High,Medium,Very Low,Medium,Medium,18,12,10,10,Low,math,D
GP,F,19,U,LE3,T,primary education (4th grade),5th to 9th grade,services,services,home,other,1,2,1,no,no,no,yes,no,yes,no,yes,High,Low,High,Low,Low,Medium,0,9,9,0,Low,math,F
GP,F,19,U,GT3,T,5th to 9th grade,primary education (4th grade),at_home,other,other,other,3,2,0,no,yes,no,no,yes,no,yes,yes,Medium,High,Very Low,Very Low,Very Low,Low,20,14,12,13,Extremely Low,math,C
GP,M,19,U,GT3,T,primary education (4th grade),5th to 9th grade,other,services,course,other,1,2,1,no,no,no,no,no,yes,yes,no,High,Very High,Low,Low,Low,High,3,13,11,11,Low,math,D
GP,F,19,U,LE3,T,secondary education,5th to 9th grade,services,other,reputation,other,2,2,1,no,yes,yes,no,no,yes,yes,yes,High,Low,Low,Very Low,Low,Very Low,22,13,10,11,Very Low,math,D
GP,F,19,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,health,home,other,1,3,2,no,no,no,no,no,yes,yes,yes,High,Very Low,Low,Very Low,Very Low,Medium,14,15,13,13,Extremely Low,math,C
GP,F,19,R,GT3,T,5th to 9th grade,secondary education,other,other,reputation,other,1,3,1,no,no,no,no,yes,yes,yes,yes,High,Very Low,Low,Very Low,Very Low,Medium,40,13,11,11,Extremely Low,math,D
GP,F,18,U,GT3,T,5th to 9th grade,primary education (4th grade),services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Low,Very Low,0,8,8,0,Very Low,math,F
GP,F,18,U,GT3,T,higher education,secondary education,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,High,Medium,High,Very Low,Very Low,Very High,9,9,10,9,Extremely Low,math,F
GP,F,17,R,GT3,T,secondary education,higher education,at_home,services,course,father,1,3,0,no,yes,yes,yes,no,yes,yes,no,High,Medium,High,Low,Very High,Very High,0,11,11,10,Medium High,math,D
GP,F,18,U,GT3,T,higher education,higher education,teacher,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,High,High,Medium,Medium,Very High,2,11,11,11,Medium,math,D
GP,F,17,U,GT3,A,higher education,secondary education,services,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,Very High,Low,Low,Very Low,Low,Very High,23,13,13,13,Very Low,math,C
GP,F,17,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,High,Low,Low,Very Low,Very Low,Medium,12,11,9,9,Extremely Low,math,F
GP,F,17,R,LE3,T,5th to 9th grade,5th to 9th grade,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,Medium,Medium,Low,Low,Low,Medium,3,11,11,11,Low,math,D
GP,F,17,U,GT3,T,secondary education,primary education (4th grade),services,services,course,father,1,3,0,no,yes,no,no,no,yes,yes,no,Medium,High,Medium,Low,Medium,Very High,1,12,14,15,Medium Low,math,B
GP,F,17,U,LE3,T,none,5th to 9th grade,at_home,at_home,home,father,2,3,0,no,no,no,no,yes,yes,yes,no,Medium,Medium,Medium,Low,Medium,Low,0,16,15,15,Medium Low,math,B
GP,M,18,U,GT3,T,higher education,higher education,other,other,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,High,Medium,Medium,Low,Low,Medium,3,9,12,11,Low,math,D
GP,M,17,U,GT3,T,secondary education,secondary education,other,services,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,High,Medium,Very High,Medium,Very High,Very High,3,14,15,16,High,math,A
GP,M,17,R,GT3,T,5th to 9th grade,5th to 9th grade,services,other,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,High,High,Very High,Very High,Very High,High,8,11,10,10,Extremely High,math,D
GP,F,17,U,GT3,T,higher education,higher education,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,Very High,High,High,Very Low,Medium,High,7,10,9,9,Low,math,F
GP,F,17,U,GT3,T,higher education,higher education,teacher,teacher,course,mother,2,3,0,no,yes,yes,no,no,yes,yes,yes,High,Medium,Medium,Very Low,Low,High,4,14,14,14,Very Low,math,B
GP,M,18,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,course,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,High,Very High,Very High,Low,High,Very High,2,9,8,8,Medium,math,F
GP,F,17,R,GT3,T,5th to 9th grade,higher education,at_home,other,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,High,High,Medium,Very Low,Very Low,Very High,7,12,14,14,Extremely Low,math,B
GP,F,18,U,GT3,T,secondary education,secondary education,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,Very High,Medium,High,Very Low,Very Low,High,0,7,0,0,Extremely Low,math,F
GP,F,18,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,High,Medium,Medium,Very Low,Very Low,Low,0,8,8,0,Extremely Low,math,F
GP,F,18,R,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,2,4,0,no,no,no,yes,yes,yes,no,no,High,High,High,Very Low,Very Low,High,0,10,9,0,Extremely Low,math,F
GP,F,17,U,GT3,T,secondary education,higher education,services,other,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,High,High,Very High,Very Low,Medium,Very High,16,16,15,15,Low,math,B
GP,F,19,R,GT3,A,secondary education,primary education (4th grade),services,at_home,home,other,1,3,1,no,no,yes,no,yes,yes,no,no,Very High,High,Medium,Very Low,Low,Very High,12,14,13,13,Very Low,math,C
GP,F,17,U,GT3,T,secondary education,5th to 9th grade,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,High,Medium,Low,Low,Medium,Low,0,7,8,0,Medium Low,math,F
GP,F,18,U,LE3,T,secondary education,secondary education,services,services,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Very Low,7,16,15,17,Extremely Low,math,A
GP,F,17,R,GT3,A,secondary education,5th to 9th grade,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Low,Medium,Low,4,9,10,10,Medium Low,math,D
GP,F,19,U,GT3,T,5th to 9th grade,primary education (4th grade),services,services,home,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,High,Medium,High,Very Low,Medium,Medium,4,11,12,11,Low,math,D
GP,M,18,U,GT3,T,higher education,higher education,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,High,Medium,Medium,Low,Low,Low,0,10,10,0,Low,math,F
GP,M,18,U,LE3,T,secondary education,higher education,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,High,Medium,Medium,Very Low,Medium,Very High,11,16,15,15,Low,math,B
GP,F,17,U,GT3,A,5th to 9th grade,5th to 9th grade,at_home,at_home,home,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,Medium,Medium,Very Low,Very Low,Low,High,0,9,8,0,Very Low,math,F
GP,F,18,U,GT3,T,5th to 9th grade,secondary education,at_home,other,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Low,Medium,4,11,10,10,Very Low,math,D
GP,F,18,U,GT3,T,secondary education,5th to 9th grade,other,services,other,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,Very High,High,Medium,Low,Medium,Very Low,7,13,13,14,Medium Low,math,B
GP,M,18,R,GT3,T,higher education,secondary education,teacher,services,course,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,Very High,Medium,Low,Very Low,Low,High,9,16,15,16,Very Low,math,A
GP,M,18,U,GT3,T,higher education,secondary education,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,Very High,High,Very High,Low,Medium,Very High,0,10,10,9,Medium Low,math,F
GP,F,17,U,GT3,T,higher education,secondary education,health,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,High,High,Medium,Very Low,Medium,High,0,13,15,15,Low,math,B
MS,M,18,R,GT3,T,secondary education,5th to 9th grade,other,other,course,mother,2,1,1,no,yes,no,no,no,yes,yes,no,Low,Very High,Very High,Very High,Very High,Very High,10,11,13,13,Extremely High,math,C
MS,M,19,R,GT3,T,primary education (4th grade),primary education (4th grade),other,services,home,other,3,2,3,no,no,no,no,yes,yes,yes,no,Very High,High,High,Medium,Medium,Low,8,8,7,8,Medium,math,F
MS,M,17,U,GT3,T,secondary education,secondary education,health,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,High,Very High,High,Low,Medium,Medium,2,13,13,13,Medium Low,math,C
MS,M,18,U,LE3,T,primary education (4th grade),secondary education,at_home,services,course,mother,1,1,1,no,no,no,no,yes,no,yes,yes,High,Medium,Medium,Low,Medium,Medium,7,8,7,8,Medium Low,math,F
MS,M,19,R,GT3,T,primary education (4th grade),primary education (4th grade),other,other,home,other,3,1,1,no,yes,no,no,yes,yes,yes,no,High,High,High,Medium,Medium,Very High,4,8,8,8,Medium,math,F
MS,M,17,R,GT3,T,higher education,secondary education,services,other,home,mother,2,2,0,no,yes,yes,yes,no,yes,yes,yes,High,Very High,Very High,Very Low,Medium,Low,4,13,11,11,Low,math,D
MS,F,18,U,GT3,T,secondary education,secondary education,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,Very High,Medium,High,Very Low,Very Low,Very High,0,10,9,9,Extremely Low,math,F
MS,F,17,R,GT3,T,higher education,higher education,teacher,services,other,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,High,Medium,Medium,Very Low,Low,Very High,4,12,13,13,Very Low,math,C
MS,F,17,U,LE3,A,secondary education,5th to 9th grade,services,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,no,yes,Very Low,Low,Medium,Very Low,Low,Very High,2,12,12,11,Very Low,math,D
MS,M,18,U,LE3,T,primary education (4th grade),primary education (4th grade),other,services,home,father,2,1,0,no,no,no,no,no,yes,yes,yes,Medium,Medium,Low,Very Low,Low,Medium,4,10,10,10,Very Low,math,D
MS,F,18,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,Very High,Medium,Low,Very Low,Very Low,High,0,18,16,16,Extremely Low,math,A
MS,F,18,R,LE3,A,primary education (4th grade),higher education,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,High,Medium,High,Very Low,High,Very High,0,13,13,13,Medium Low,math,C
MS,M,18,R,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,2,2,1,no,no,no,yes,no,no,no,no,High,High,Medium,Low,Medium,Very High,2,13,12,12,Medium Low,math,C
MS,F,18,U,GT3,T,secondary education,secondary education,services,services,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,High,Medium,Low,Very Low,Medium,Medium,0,11,11,10,Low,math,D
MS,F,17,U,LE3,T,higher education,higher education,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,Low,Medium,High,Very Low,Very Low,Very Low,0,16,15,15,Extremely Low,math,B
MS,F,17,R,GT3,T,primary education (4th grade),5th to 9th grade,other,services,course,father,2,2,0,no,no,no,no,no,yes,no,no,Medium,Low,Low,Very Low,Low,Medium,0,12,11,12,Very Low,math,C
MS,M,18,R,GT3,T,primary education (4th grade),secondary education,at_home,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,Medium,Medium,High,Low,High,Medium,4,10,10,10,Medium,math,D
MS,M,18,U,LE3,T,higher education,higher education,teacher,services,other,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,High,Low,Low,Low,Low,Very High,0,13,13,13,Low,math,C
MS,F,17,R,GT3,T,primary education (4th grade),primary education (4th grade),other,services,reputation,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,Very High,Low,Very Low,Very Low,Low,Very Low,0,7,6,0,Very Low,math,F
MS,F,18,U,GT3,T,5th to 9th grade,secondary education,at_home,services,course,father,2,1,0,no,yes,yes,no,yes,yes,yes,yes,Very High,Low,Medium,Very Low,Low,High,0,11,10,10,Very Low,math,D
MS,F,18,R,GT3,T,higher education,higher education,other,teacher,other,father,3,2,0,no,yes,yes,no,no,yes,yes,yes,Medium,Low,Low,High,Low,Very High,10,14,12,11,Medium,math,D
MS,F,19,U,LE3,T,secondary education,5th to 9th grade,services,services,home,other,2,2,2,no,no,no,yes,yes,yes,no,yes,Medium,Low,Low,Very Low,Very Low,Medium,4,7,7,9,Extremely Low,math,F
MS,M,18,R,LE3,T,primary education (4th grade),5th to 9th grade,at_home,services,other,father,3,1,0,no,yes,yes,yes,yes,no,yes,yes,High,Medium,Medium,Low,Medium,Medium,3,14,12,12,Medium Low,math,C
MS,F,17,U,GT3,T,5th to 9th grade,5th to 9th grade,other,at_home,home,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,Medium,High,Medium,Very Low,Very Low,Medium,8,13,11,11,Extremely Low,math,D
MS,F,17,R,GT3,T,primary education (4th grade),5th to 9th grade,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,Medium,Very High,Very High,Very Low,Medium,Very Low,14,6,5,5,Low,math,F
MS,F,18,R,LE3,T,higher education,higher education,other,other,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,no,Very High,High,High,Very Low,Very Low,Very Low,0,19,18,19,Extremely Low,math,A
MS,F,18,R,GT3,T,primary education (4th grade),primary education (4th grade),other,other,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,High,Medium,Low,Very Low,Low,High,2,8,8,10,Very Low,math,D
MS,F,20,U,GT3,T,higher education,5th to 9th grade,health,other,course,other,2,3,2,no,yes,yes,no,no,yes,yes,yes,Very High,High,Medium,Very Low,Very Low,Medium,4,15,14,15,Extremely Low,math,B
MS,F,18,R,LE3,T,higher education,higher education,teacher,services,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,Very High,High,Medium,Medium,High,Low,4,8,9,10,Medium High,math,D
MS,F,18,U,GT3,T,secondary education,secondary education,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,High,Very Low,Medium,Very Low,Low,Very Low,0,15,15,15,Very Low,math,B
MS,F,17,R,GT3,T,secondary education,primary education (4th grade),at_home,other,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,High,Very High,High,Low,Medium,Very Low,17,10,10,10,Medium Low,math,D
MS,M,18,U,GT3,T,higher education,higher education,teacher,teacher,home,father,1,2,0,no,no,yes,yes,no,yes,yes,no,Medium,Low,High,Very Low,High,Low,4,15,14,14,Medium Low,math,B
MS,M,18,R,GT3,T,5th to 9th grade,primary education (4th grade),other,other,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,High,High,Medium,Very Low,Medium,Very High,5,7,6,7,Low,math,F
MS,M,17,U,GT3,T,5th to 9th grade,secondary education,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,High,High,Medium,Very Low,Very Low,Medium,2,11,11,10,Extremely Low,math,D
MS,M,19,R,GT3,T,primary education (4th grade),primary education (4th grade),other,services,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,High,Medium,Low,Very Low,Medium,Very High,0,6,5,0,Low,math,F
MS,M,18,R,GT3,T,higher education,5th to 9th grade,other,other,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,Very High,High,Medium,High,Medium,Medium,14,6,5,5,Medium High,math,F
MS,F,18,R,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,other,mother,2,3,0,no,no,yes,no,yes,yes,no,no,Very High,Medium,Medium,Very Low,Medium,High,2,10,9,10,Low,math,D
MS,F,18,R,GT3,T,higher education,higher education,teacher,at_home,reputation,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,High,High,Medium,Low,Low,Very High,7,6,5,6,Low,math,F
MS,F,19,R,GT3,T,5th to 9th grade,secondary education,services,other,course,mother,1,3,1,no,no,no,yes,no,yes,yes,no,Very High,High,Low,Very Low,Low,Very High,0,7,5,0,Very Low,math,F
MS,F,18,U,LE3,T,secondary education,primary education (4th grade),teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,High,Very Low,Very Low,Very Low,0,7,9,8,Extremely Low,math,F
MS,F,18,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,course,mother,2,2,1,no,no,no,yes,yes,yes,no,no,Very Low,Very Low,Very Low,Very Low,Very Low,Very High,0,6,5,0,Extremely Low,math,F
MS,M,20,U,LE3,A,5th to 9th grade,5th to 9th grade,services,services,course,other,1,2,2,no,yes,yes,no,yes,yes,no,no,Very High,Very High,High,High,Very High,High,11,9,9,9,Very High,math,F
MS,M,17,U,LE3,T,secondary education,primary education (4th grade),services,services,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,Low,High,Very High,Medium,High,Low,3,14,16,16,Medium High,math,A
MS,M,21,R,GT3,T,primary education (4th grade),primary education (4th grade),other,other,course,other,1,1,3,no,no,no,no,no,yes,no,no,Very High,Very High,Medium,Medium,Medium,Medium,3,10,8,7,Medium,math,F
MS,M,18,R,LE3,T,secondary education,5th to 9th grade,services,other,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,High,High,Very Low,Medium,High,Very High,0,11,12,10,Medium High,math,D
MS,M,19,U,LE3,T,primary education (4th grade),primary education (4th grade),other,at_home,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,Medium,Low,Medium,Medium,Medium,Very High,5,8,9,9,Medium,math,F
GP,F,18,U,GT3,A,higher education,higher education,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,High,Medium,High,Very Low,Very Low,Medium,4,0,11,11,Extremely Low,port,D
GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Medium,2,9,11,11,Extremely Low,port,D
GP,F,15,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,High,Medium,Low,Low,Medium,Medium,6,12,13,12,Medium Low,port,C
GP,F,15,U,GT3,T,higher education,5th to 9th grade,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,Medium,Low,Low,Very Low,Very Low,Very High,0,14,14,14,Extremely Low,port,B
GP,F,16,U,GT3,T,secondary education,secondary education,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,High,Medium,Low,Very Low,Low,Very High,0,11,13,13,Very Low,port,C
GP,M,16,U,LE3,T,higher education,secondary education,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,Very High,High,Low,Very Low,Low,Very High,6,12,12,13,Very Low,port,C
GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,High,High,High,Very Low,Very Low,Medium,0,13,12,13,Extremely Low,port,C
